feature,mean_not,mean_readm,diff,diff_ci_low,diff_ci_high,cohens_d,p_value
adherence_score,0.7274,0.6593,-0.0681,-0.0806,-0.0556,-0.4012,0.0
bnp,374.9881,451.1305,76.1424,59.2901,92.9946,0.3321,0.0
age,64.1217,66.8752,2.7535,1.6787,3.8282,0.1867,0.0
distance_to_hospital_km,24.6071,26.5335,1.9264,0.9051,2.9477,0.1365,0.0002
sodium,138.2624,137.8431,-0.4193,-0.7199,-0.1187,-0.1041,0.0063
creatinine,1.1853,1.2299,0.0446,0.009,0.0803,0.0932,0.0142
systolic_bp,128.9949,130.4384,1.4435,-0.016,2.903,0.0713,0.0526
bmi,28.0033,28.2764,0.273,-0.0918,0.6378,0.0553,0.1424
heart_rate,79.5575,79.1792,-0.3783,-1.485,0.7285,-0.0249,0.5028
